,Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,x,rox,radii
2572,HUVEC,CCK-8,C,72,100.0,27.623,29.57,-33.33,0.0,2.55,0.0,0.7
2573,HUVEC,CCK-8,C,72,150.0,25.463,29.57,-33.33,0.0,2.55,0.0,0.7
2574,HUVEC,CCK-8,C,72,200.0,25.463,29.57,-33.33,0.0,2.55,0.0,0.7
2575,HUVEC,CCK-8,C,72,250.0,20.37,29.57,-33.33,0.0,2.55,0.0,0.7
2576,HUVEC,CCK-8,C,24,25.0,70.14,29.57,-33.33,0.0,2.55,0.0,0.7
2577,HUVEC,CCK-8,C,24,50.0,60.342,29.57,-33.33,0.0,2.55,0.0,0.7
2578,HUVEC,CCK-8,C,24,100.0,18.663,29.57,-33.33,0.0,2.55,0.0,0.7
2579,HUVEC,CCK-8,C,24,200.0,11.975,29.57,-33.33,0.0,2.55,0.0,0.7
2580,HUVEC,CCK-8,C,24,400.0,6.5319,29.57,-33.33,0.0,2.55,0.0,0.7
2581,HUVEC,CCK-8,C,24,600.0,8.2426,29.57,-33.33,0.0,2.55,0.0,0.7
2582,HUVEC,CCK-8,C,24,800.0,11.042,29.57,-33.33,0.0,2.55,0.0,0.7
2583,HUVEC,CCK-8,C,24,1000.0,11.353,29.57,-33.33,0.0,2.55,0.0,0.7
2584,HUVEC,CCK-8,C,48,25.0,59.72,29.57,-33.33,0.0,2.55,0.0,0.7
2585,HUVEC,CCK-8,C,48,50.0,43.079,29.57,-33.33,0.0,2.55,0.0,0.7
2586,HUVEC,CCK-8,C,48,100.0,20.218,29.57,-33.33,0.0,2.55,0.0,0.7
2587,HUVEC,CCK-8,C,48,200.0,8.8647,29.57,-33.33,0.0,2.55,0.0,0.7
2588,HUVEC,CCK-8,C,48,400.0,4.3546,29.57,-33.33,0.0,2.55,0.0,0.7
2589,HUVEC,CCK-8,C,48,600.0,4.3546,29.57,-33.33,0.0,2.55,0.0,0.7
2590,HUVEC,CCK-8,C,48,800.0,5.9098,29.57,-33.33,0.0,2.55,0.0,0.7
2591,HUVEC,CCK-8,C,48,1000.0,7.3095,29.57,-33.33,0.0,2.55,0.0,0.7
2592,HUVEC,NRU,C,72,25.0,55.21,29.57,-33.33,0.0,2.55,0.0,0.7
2593,HUVEC,NRU,C,72,50.0,38.103,29.57,-33.33,0.0,2.55,0.0,0.7
2594,HUVEC,NRU,C,72,100.0,17.729,29.57,-33.33,0.0,2.55,0.0,0.7
2595,HUVEC,NRU,C,72,200.0,5.9098,29.57,-33.33,0.0,2.55,0.0,0.7
2596,HUVEC,NRU,C,72,400.0,4.9767,29.57,-33.33,0.0,2.55,0.0,0.7
2597,HUVEC,NRU,C,72,600.0,4.9767,29.57,-33.33,0.0,2.55,0.0,0.7
2598,HUVEC,NRU,C,72,800.0,6.5319,29.57,-33.33,0.0,2.55,0.0,0.7
2599,HUVEC,NRU,C,72,1000.0,9.4868,29.57,-33.33,0.0,2.55,0.0,0.7
2600,HUVEC,NRU,C,24,20.0,101.44,29.57,-33.33,0.0,2.55,0.0,0.7
2601,HUVEC,NRU,C,24,40.0,61.798,29.57,-33.33,0.0,2.55,0.0,0.7
2602,U87,MTT,C,24,60.0,59.23,29.57,-33.33,0.0,2.55,0.0,0.7
2603,U87,MTT,C,24,80.0,18.78,29.57,-33.33,0.0,2.55,0.0,0.7
2604,U87,MTT,C,24,100.0,16.533,29.57,-33.33,0.0,2.55,0.0,0.7
2605,U87,MTT,C,24,150.0,13.483,29.57,-33.33,0.0,2.55,0.0,0.7
2606,U87,MTT,C,24,200.0,12.841,29.57,-33.33,0.0,2.55,0.0,0.7
2607,U87,MTT,C,24,250.0,11.236,29.57,-33.33,0.0,2.55,0.0,0.7
2608,C3A,MTT,C,48,20.0,9.6308,29.57,-33.33,0.0,2.55,0.0,0.7
2609,C3A,MTT,C,48,40.0,8.6677,29.57,-33.33,0.0,2.55,0.0,0.7
2610,C3A,MTT,C,48,60.0,7.3836,29.57,-33.33,0.0,2.55,0.0,0.7
2611,C3A,MTT,C,48,80.0,6.4205,29.57,-33.33,0.0,2.55,0.0,0.7
2612,C3A,MTT,C,48,100.0,4.8154,29.57,-33.33,0.0,2.55,0.0,0.7
2613,C3A,MTT,C,48,150.0,4.4944,29.57,-33.33,0.0,2.55,0.0,0.7
2614,U87,MTT,C,48,200.0,4.4944,29.57,-33.33,0.0,2.55,0.0,0.7
2615,U87,MTT,C,48,250.0,4.4944,29.57,-33.33,0.0,2.55,0.0,0.7
2616,U87,MTT,C,72,20.0,7.3836,29.57,-33.33,0.0,2.55,0.0,0.7
2617,U87,MTT,C,72,40.0,7.7047,29.57,-33.33,0.0,2.55,0.0,0.7
2618,U87,MTT,C,72,60.0,5.7785,29.57,-33.33,0.0,2.55,0.0,0.7
2619,U87,MTT,C,72,80.0,4.8154,29.57,-33.33,0.0,2.55,0.0,0.7
2620,C3A,MTT,C,72,100.0,2.8892,29.57,-33.33,0.0,2.55,0.0,0.7
2621,C3A,MTT,C,72,150.0,2.5682,29.57,-33.33,0.0,2.55,0.0,0.7
2622,C3A,MTT,C,72,200.0,3.5313,29.57,-33.33,0.0,2.55,0.0,0.7
2623,C3A,MTT,C,72,250.0,3.8523,29.57,-33.33,0.0,2.55,0.0,0.7
2624,C3A,MTT,C,24,0.5,87.183,6.0,-36.5,0.0,2.55,0.0,0.7
2625,C3A,MTT,C,24,2.0,86.44,6.0,-36.5,0.0,2.55,0.0,0.7
2626,CCL-110,MTS,Ag,24,4.0,84.582,6.0,-36.5,0.0,1.93,0.7996,1.6
2627,CCL-110,MTS,Ag,48,0.5,77.523,6.0,-36.5,0.0,1.93,0.7996,1.6
